Date,Confirmed,Daily Count,Deaths
30-01-2020,1,1,0
31-01-2020,1,0,0
01-02-2020,1,0,0
02-02-2020,2,1,0
03-02-2020,3,1,0
04-02-2020,3,0,0
05-02-2020,3,0,0
06-02-2020,3,0,0
07-02-2020,3,0,0
08-02-2020,3,0,0
09-02-2020,3,0,0
10-02-2020,3,0,0
11-02-2020,3,0,0
12-02-2020,3,0,0
13-02-2020,3,0,0
14-02-2020,3,0,0
15-02-2020,3,0,0
16-02-2020,3,0,0
17-02-2020,3,0,0
18-02-2020,3,0,0
19-02-2020,3,0,0
20-02-2020,3,0,0
21-02-2020,3,0,0
22-02-2020,3,0,0
23-02-2020,3,0,0
24-02-2020,3,0,0
25-02-2020,3,0,0
26-02-2020,3,0,0
27-02-2020,3,0,0
28-02-2020,3,0,0
29-02-2020,3,0,0
01-03-2020,3,0,0
02-03-2020,6,3,0
03-03-2020,9,3,0
04-03-2020,32,23,0
05-03-2020,33,1,0
06-03-2020,34,1,0
07-03-2020,37,3,0
08-03-2020,43,6,0
09-03-2020,50,7,0
10-03-2020,65,15,0
11-03-2020,65,0,0
12-03-2020,77,12,1
13-03-2020,85,8,2
14-03-2020,100,15,2
15-03-2020,110,10,2
16-03-2020,114,4,2
17-03-2020,140,26,3
18-03-2020,170,30,3
19-03-2020,194,24,4
20-03-2020,249,55,4
21-03-2020,329,80,4
22-03-2020,391,62,7
23-03-2020,468,77,9
24-03-2020,519,51,9
